Answer;2016;2017;2018
I don't eat at fast food restaurants;1153;1538;1455
One to three times per week;3758;3189;3157
Four to six times per week;1055;1447;1580
Seven to nine times per week;274;436;565
Ten times or more per week;203;196;266
Less than once per week;3489;3150;2942
Prefer not to say;68;44;36
