Danie,Energia (kcal),Tluszcze (g),Kwasy tluszczowe nasycone (g),Weglowodany (g),Cukry (g),Blonnik (g),Bialko (g),Sol (g),porcja
Big Mac®,544,29.0,10.0,42.0,8.8,4.0,27.0,2.3,1
Srednie frytki,327,15,1.5,41,0.3,4.1,4.1,0.76,1
Srednia Coca-Cola®,174,0,0,44,44,0,0,0.00,1
McFlurry® Lion® waniliowe z polewa karmelowa,408,11,6.7,71,51,0.4,6.7,0.42,1
RL,2000,70,20,260,90,,50,6,dzien
Zestaw,1453,55,18.20,198,104.10,8.5,37.8,3.48,1
